,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
3072,3072,,,,,,,10449.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Medium full-time two-year,Poteau,,4080.0,COED,Associate,35.0382,-94.6338,30600,24600,25900,20900,Public,0.0036,0.0315,0.68999999761581,0.0467,,0.2804,0.5,0.4543,,0.5879,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Carl Albert State College,www.carlalbert.edu,4051.0,OK,2808.0,5808.0,206923,2225.0,74953-5208,0.4699999988079,25918.39
3073,3073,,,,,,,,17256.0,,,,Oklahoma City,,,COED,Certificate,35.5715,-97.668,17800,15400,13700,12500,Private for-profit,0.0192,0.3269,0.94999998807907,0.0769,,0.3558,,0.7829,,0.3846,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Central State Beauty Academy,www.csbaokc.com/,5226.0,OK,,,206932,104.0,73162-6007,0.56000000238418,24246.89
3074,3074,22.0,21.0,22.0,,0.8398,,16684.0,,Master's Colleges and Universities (larger programs),"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, higher transfer-in",Edmond,0.3562,6382.0,COED,Graduate,35.6582,-97.471,44100,34200,38400,31600,Public,0.0317,0.0888,0.60000002384185,0.074,,0.2814,0.9819,0.3496,,0.5982,Bachelors,"Southwest (AZ, NM, OK, TX)",,,1030.0,,,University of Central Oklahoma,www.uco.edu,6560.0,OK,5437.0,13551.0,206941,15119.0,73034,0.25,49363.75
3075,3075,,,,,,,,8793.0,,,,Claremore,,,COED,Certificate,36.3126,-95.6129,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0,0.87999999523162,0.0,,0.0,,0.92,,0.8824,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Claremore Beauty College,claremorebeautycollege.com,832.0,OK,,,206969,17.0,74017,0.56000000238418,20350.56
3076,3076,,,,,,,13115.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Medium full-time two-year,Warner,,4426.0,COED,Associate,35.4929,-95.3195,33100,27500,29800,23600,Public,0.0032,0.0926,0.68000000715255,0.0277,,0.2989,0.9833,0.5598,,0.5138,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Connors State College,www.connorsstate.edu,3667.0,OK,3352.0,7578.0,206996,1880.0,74469,0.40999999642372,29837.54
3077,3077,21.0,20.0,19.0,,0.9814,,13735.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Full-time four-year, inclusive",Ada,0.3384,5225.0,COED,Graduate,34.7738,-96.6642,38800,31500,34500,30100,Public,0.0043,0.0389,0.61000001430511,0.0482,,0.1853,1.0,0.4848,,0.5882,Bachelors,"Southwest (AZ, NM, OK, TX)",,495.0,969.0,450.0,,East Central University,https://www.ecok.edu,7061.0,OK,5241.0,12643.0,207041,3757.0,74820-6999,0.30000001192092,37633.71
3078,3078,,,,,,,8757.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Wilburton,,5675.0,COED,Associate,34.9133,-95.3277,33400,27400,29800,23700,Public,0.0014,0.0616,0.66000002622604,0.0345,,0.3324,0.4754,0.189,,0.5972,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Eastern Oklahoma State College,www.eosc.edu,6077.0,OK,3528.0,7145.0,207050,1477.0,74578-4999,0.36000001430511,27220.51
3079,3079,,,,,,,11719.0,,Associate's--Public Suburban-serving Single Campus,"Small 2-year (500 to 1,999)",Higher part-time two-year,El Reno,,4321.0,COED,Associate,35.5185,-97.9746,39600,31400,33000,27000,Public,0.0099,0.0559,0.69999998807907,0.071,,0.4938,0.2807,0.3335,,0.6391,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Redlands Community College,www.redlandscc.edu,5177.0,OK,3495.0,5795.0,207069,1521.0,73036-5304,0.4699999988079,33571.07
3080,3080,,,,,,,,21251.0,,,,Enid,,,COED,Certificate,36.3969,-97.855,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0233,0.93999999761581,0.0465,,0.0,,0.5147,,0.907,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Enid Beauty College,www.enidokbeautycollege.com,4480.0,OK,,,207087,43.0,73703-4538,0.40000000596046,20108.3
3081,3081,,,,,,,,15059.0,,,,Lawton,,,COED,Certificate,34.6048,-98.402,18900,14100,16900,11700,Private for-profit,0.0,0.1628,0.94999998807907,0.093,,0.0,,0.7296,,0.593,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Eves College of Hairstyling,www.goelitecollege.com,1201.0,OK,,,207102,86.0,73501,0.50999999046325,14067.95
3082,3082,19.0,19.0,20.0,,0.4331,,23637.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Moore,0.5119,2709.0,COED,Graduate,35.3008,-97.4911,37200,34800,33400,28200,Private nonprofit,0.0051,0.1231,0.38999998569488,0.0718,,0.1385,0.4528,0.5373,,0.6769,Bachelors,"Southwest (AZ, NM, OK, TX)",Free Will Baptist Church,413.0,899.0,425.0,380.0,Hillsdale Free Will Baptist College,www.hc.edu,3755.0,OK,11600.0,11600.0,207157,195.0,73160,0.14000000059604,45723.57
3083,3083,,,,,,,,14566.0,,,,Norman,,,COED,Certificate,35.2038,-97.4668,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0,0.97000002861022,0.0,,0.0,,1.0,,1.0,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Hollywood Cosmetology Center,hollywoodcosmetologyschool.com,1896.0,OK,,,207166,17.0,73069,0.57999998331069,14593.31
3084,3084,,,,,,,13531.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, inclusive",Langston,0.2057,6366.0,COED,Graduate,35.944,-97.2603,32400,24900,28400,21700,Public,0.0087,0.8817,0.51999998092651,0.0131,,0.1072,1.0,0.7167,,0.0757,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,Langston University,www.lunet.edu,7330.0,OK,3815.0,9239.0,207209,2062.0,73050,0.20000000298023,27434.5
3085,3085,,,,,,,13665.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Tishomingo,,4452.0,COED,Associate,34.2229,-96.6779,34400,28200,30500,24300,Public,0.0022,0.0494,0.64999997615814,0.0633,,0.4362,1.0,0.6259,,0.5943,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Murray State College,www.mscok.edu,4053.0,OK,4134.0,9292.0,207236,1802.0,73460,0.41999998688697,30586.21
3086,3086,,,,,1.0,,26339.0,,Special Focus Institutions--Other technology-related schools,,,Tulsa,0.4269,4540.0,COED,Bachelors,36.178,-95.879,42700,38900,37900,34100,Private for-profit,0.033,0.1175,0.07999999821186,0.1408,,0.0,,0.6406,,0.5814,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Spartan College of Aeronautics and Technology,www.spartan.edu,6191.0,OK,15915.0,15915.0,207254,817.0,74115,0.27000001072883,45986.56
3087,3087,21.0,20.0,21.0,,0.7337,,13296.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Tahlequah,0.2969,5721.0,COED,Graduate,35.9205,-94.9685,38600,30600,35000,29500,Public,0.0172,0.0488,0.62000000476837,0.0371,,0.2678,0.609,0.4926,,0.5185,Bachelors,"Southwest (AZ, NM, OK, TX)",,,970.0,,,Northeastern State University,www.nsuok.edu,7338.0,OK,4992.0,12012.0,207263,7215.0,74464-2399,0.34000000357627,38778.6
3088,3088,,,,,,,,8950.0,,,,Tahlequah,,,COED,Certificate,35.9149,-94.9483,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0,0.95999997854232,0.0,,0.0,,0.9846,,0.5,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Beauty Technical College Inc,www.beautytechnicalcollege.com,972.0,OK,,,207272,24.0,74465,0.56999999284744,12814.26
3089,3089,,,,,,,10498.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Tonkawa,,5192.0,COED,Associate,36.6788,-97.2975,34900,28100,30400,24700,Public,0.0095,0.0507,0.58999997377395,0.0592,,0.4492,1.0,0.2839,,0.765,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Northern Oklahoma College,www.noc.edu,6283.0,OK,3019.0,7459.0,207281,4205.0,74653,0.34000000357627,38569.45
3090,3090,,,,,,,12946.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Medium full-time two-year,Miami,,3742.0,COED,Associate,36.8782,-94.8648,33900,25900,28600,22500,Public,0.0103,0.0791,0.52999997138977,0.0267,,0.1937,0.5476,0.5768,,0.5924,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Northeastern Oklahoma A&M College,www.neo.edu,3980.0,OK,3525.0,8280.0,207290,2137.0,74354,0.27000001072883,35140.58
3091,3091,20.0,19.0,20.0,,0.598,,13065.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, primarily residential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Alva,0.314,5246.0,COED,Graduate,36.7963,-98.6676,43600,30400,36100,28300,Public,0.0065,0.0693,0.60000002384185,0.0668,,0.2439,1.0,0.4177,,0.6673,Bachelors,"Southwest (AZ, NM, OK, TX)",,,930.0,,,Northwestern Oklahoma State University,www.nwosu.edu,6634.0,OK,5642.0,11764.0,207306,2005.0,73717-2799,0.28000000119209,42897.39
3092,3092,,,,,,,,,Special Focus Institutions--Medical schools and medical centers,,,Tulsa,,,COED,Graduate,36.1384,-96.005,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Public,,,0.41999998688697,,,,,,,,Graduate,"Southwest (AZ, NM, OK, TX)",,,,,,Oklahoma State University Center for Health Sciences,www.healthsciences.okstate.edu,111562.0,OK,,,207315,,74107-1898,0.95999997854232,17128.96
3093,3093,25.0,24.0,25.0,7.0,0.6321,,29359.0,,Master's Colleges and Universities (medium programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Edmond,0.4875,6581.0,COED,Graduate,35.609,-97.4683,41100,30400,35600,27700,Private nonprofit,0.0334,0.0385,0.54000002145767,0.0282,,0.0431,1.0,0.2707,,0.8784,Bachelors,"Southwest (AZ, NM, OK, TX)",Churches of Christ,530.0,1124.0,540.0,505.0,Oklahoma Christian University,www.oc.edu,8096.0,OK,18800.0,18800.0,207324,1949.0,73013-1100,0.03999999910593,78247.94
3094,3094,,,,,,,,,Special Focus Institutions--Medical schools and medical centers,,,Oklahoma City,,7602.0,COED,Graduate,35.4793,-97.4963,58000,45100,46600,37900,Public,0.0599,0.0428,0.86000001430511,0.0709,,0.044,0.6854,0.2949,,0.6809,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,University of Oklahoma-Health Sciences Center,ouhsc.edu,43531.0,OK,,,207342,818.0,73104-5499,0.4699999988079,63519.6
3095,3095,19.0,18.0,19.0,,0.4767,,15439.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, inclusive",Goodwell,0.2264,4967.0,COED,Bachelors,36.5945,-101.6385,40500,31600,34400,29200,Public,0.0081,0.1002,0.50999999046325,0.1575,,0.1648,0.6344,0.4554,,0.6365,Bachelors,"Southwest (AZ, NM, OK, TX)",,,890.0,,,Oklahoma Panhandle State University,www.opsu.edu,5257.0,OK,6739.0,6739.0,207351,1238.0,73939-0430,0.20000000298023,42766.16
3096,3096,25.0,25.0,24.0,,0.7602,,21338.0,,Research Universities (high research activity),"Large 4-year, primarily residential (over 9,999)","Full-time four-year, selective, higher transfer-in",Stillwater,0.5956,8254.0,COED,Graduate,36.1231,-97.0697,50700,39900,43400,35700,Public,0.0153,0.05,0.5,0.0472,,0.1264,0.8686,0.2914,,0.7222,Bachelors,"Southwest (AZ, NM, OK, TX)",,570.0,1138.0,545.0,,Oklahoma State University-Main Campus,www.okstate.edu/,8346.0,OK,7442.0,20027.0,207388,20314.0,74078-1015,0.14000000059604,67548.85
3097,3097,,,,,,,9634.0,,Associate's--Public 4-year Primarily Associate's,"Medium 4-year, primarily nonresidential (3,000 to 9,999)",Higher part-time four-year,Oklahoma City,0.0591,5513.0,COED,Bachelors,35.4753,-97.5833,39100,31800,34400,28300,Public,0.0228,0.1654,0.66000002622604,0.0908,,0.6557,1.0,0.4194,,0.5687,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Oklahoma State University-Oklahoma City,www.osuokc.edu,4490.0,OK,2661.0,7224.0,207397,6529.0,73107-6195,0.57999998331069,32310.92
3098,3098,24.0,24.0,23.0,,0.5646,,31759.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Shawnee,0.546,6090.0,COED,Graduate,35.3599,-96.9343,37700,32900,35300,31500,Private nonprofit,0.0069,0.0489,0.57999998331069,0.0473,,0.0244,0.6667,0.3326,,0.7056,Bachelors,"Southwest (AZ, NM, OK, TX)",Baptist,535.0,1098.0,530.0,,Oklahoma Baptist University,www.okbu.edu,6372.0,OK,21842.0,21842.0,207403,1882.0,74804,0.07999999821186,67085.53
3099,3099,,,,,,,12221.0,,Associate's--Public Urban-serving Single Campus,"Large 2-year ( 5000 to 9,999)",Higher part-time two-year,Oklahoma City,,5486.0,COED,Associate,35.3877,-97.5701,38200,30800,33000,27600,Public,0.0383,0.0857,0.63999998569488,0.0909,,0.6353,1.0,0.425,,0.5646,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Oklahoma City Community College,www.occc.edu,4723.0,OK,3091.0,7891.0,207449,12594.0,73159-9987,0.4699999988079,33808.79
3100,3100,26.0,27.0,25.0,8.0,0.7198,,41431.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, higher transfer-in",Oklahoma City,0.6075,7055.0,COED,Graduate,35.4953,-97.5412,45100,40400,39400,34000,Private nonprofit,0.0205,0.0619,0.62999999523162,0.0793,,0.1024,0.6104,0.1991,,0.5773,Bachelors,"Southwest (AZ, NM, OK, TX)",United Methodist,555.0,1163.0,555.0,550.0,Oklahoma City University,www.okcu.edu,12581.0,OK,29426.0,29426.0,207458,1954.0,73106-1402,0.31000000238418,66323.91
3101,3101,26.0,26.0,26.0,,0.8044,,23263.0,,Research Universities (very high research activity),"Large 4-year, primarily residential (over 9,999)","Full-time four-year, more selective, higher transfer-in",Norman,0.6629,9273.0,COED,Graduate,35.2082,-97.4457,58000,45100,46600,37900,Public,0.056,0.049,0.54000002145767,0.0885,,0.1524,0.8207,0.2491,,0.6248,Bachelors,"Southwest (AZ, NM, OK, TX)",,590.0,1176.0,565.0,,University of Oklahoma-Norman Campus,www.ou.edu,11985.0,OK,8916.0,21105.0,207500,20528.0,73019-3072,0.20000000298023,66684.98
3102,3102,,,,,,,,18274.0,,,,Moore,,,COED,Certificate,35.3583,-97.4981,27800,PrivacySuppressed,24300,PrivacySuppressed,Private for-profit,0.0,0.1364,0.81000000238418,0.0,,0.0,,0.8571,,0.75,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Oklahoma School of Photography,www.schoolofphotography.edu,6171.0,OK,,,207537,44.0,73160,0.56000000238418,35541.23
3103,3103,,,,,,,12161.0,,Associate's--Public 4-year Primarily Associate's,"Small 4-year, primarily residential (1,000 to 2,999)",Higher part-time four-year,Okmulgee,0.2624,4529.0,COED,Bachelors,35.6286,-95.9404,38200,34400,33000,28500,Public,0.0095,0.0556,0.37000000476837,0.0517,,0.2689,0.7069,0.3822,,0.5593,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Oklahoma State University Institute of Technology,www.osuit.edu/,5857.0,OK,4395.0,10005.0,207564,2841.0,74447-3901,0.31999999284744,36158.87
3104,3104,23.0,23.0,22.0,,0.4354,,35070.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Tulsa,0.5336,6551.0,COED,Graduate,36.0507,-95.9542,39200,31900,34900,28400,Private nonprofit,0.0229,0.1488,0.61000001430511,0.0752,,0.1273,0.6367,0.4396,,0.5201,Bachelors,"Southwest (AZ, NM, OK, TX)",Other Protestant,505.0,1037.0,515.0,,Oral Roberts University,oru.edu,7486.0,OK,22508.0,22508.0,207582,2884.0,74171,0.14000000059604,66075.88
3105,3105,,,,,,,,14930.0,,,,Tulsa,,,COED,Certificate,36.2106,-95.9775,40500,28700,39200,27500,Public,0.0176,0.1314,0.66000002622604,0.1058,,0.8045,,0.1306,,0.6442,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Tulsa Technology Center-Peoria Campus,www.tulsatech.edu,11092.0,OK,,,207607,624.0,74106-1619,0.68999999761581,15867.28
3106,3106,,,,,,,,22795.0,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Oklahoma City,,3603.0,COED,Associate,35.463,-97.6104,22800,26600,20600,23300,Private for-profit,0.025,0.29,0.83999997377395,0.135,,0.0,0.6875,0.8949,,0.47,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Platt College-Central OKC,www.plattcollege.edu,2489.0,OK,,,207625,200.0,73128-1112,0.66000002622604,22822.44
3107,3107,20.0,20.0,19.0,,0.5445,,17213.0,,Baccalaureate/Associate's Colleges,"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Claremore,0.2131,5534.0,COED,Bachelors,36.3196,-95.6357,35400,29600,32600,26300,Public,0.0182,0.0316,0.64999997615814,0.0397,,0.3445,0.3864,0.4721,,0.5969,Bachelors,"Southwest (AZ, NM, OK, TX)",,,950.0,,,Rogers State University,www.rsu.edu,5098.0,OK,5349.0,12005.0,207661,3957.0,74017-3252,0.40000000596046,38422.73
3108,3108,,,,,,,12390.0,,Associate's--Public Suburban-serving Single Campus,"Large 2-year ( 5000 to 9,999)",Higher part-time two-year,Midwest City,,5063.0,COED,Associate,35.4443,-97.4139,35600,29300,31400,26300,Public,0.0208,0.1705,0.68999999761581,0.054,,0.5885,0.3411,0.4015,,0.5782,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Rose State College,www.rose.edu,5199.0,OK,3104.0,9346.0,207670,6427.0,73110-2799,0.50999999046325,30776.64
3109,3109,,,,,0.9468,,32671.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",Shawnee,0.241,4556.0,COED,Graduate,35.3674,-96.9542,42200,36600,38200,32200,Private nonprofit,0.0112,0.0785,0.62999999523162,0.1474,,0.4087,0.3222,0.4193,,0.4824,Bachelors,"Southwest (AZ, NM, OK, TX)",Roman Catholic,,,,,Saint Gregory's University,www.stgregorys.edu,5065.0,OK,20595.0,20595.0,207689,624.0,74804,0.58999997377395,49480.38
3110,3110,,,,,,,,17791.0,,,,Sand Springs,,,COED,Certificate,36.1383,-96.1098,22200,17400,17900,16100,Private for-profit,0.0361,0.0964,0.9200000166893,0.0241,,0.0,,0.6393,,0.7711,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Standard Beauty College of Oklahoma,sandspringsbeautycollege.com,1333.0,OK,,,207704,83.0,74063-0759,0.60000002384185,28387.76
3111,3111,21.0,22.0,20.0,,0.6246,,15440.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, primarily residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Chickasha,0.3788,5379.0,COED,Bachelors,35.0314,-97.9564,33700,29100,30700,27500,Public,0.0058,0.037,0.60000002384185,0.0602,,0.0683,0.6593,0.464,,0.6852,Bachelors,"Southwest (AZ, NM, OK, TX)",,480.0,990.0,510.0,,University of Science and Arts of Oklahoma,www.usao.edu,6819.0,OK,4866.0,11298.0,207722,864.0,73018-5322,0.20000000298023,45306.55
3112,3112,,,,,,,14233.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Seminole,,3760.0,COED,Associate,35.249,-96.704,32500,25100,28000,21200,Public,0.0056,0.0649,0.6700000166893,0.0321,,0.4333,0.4494,0.4389,,0.6193,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Seminole State College,www.sscok.edu,4012.0,OK,3425.0,8075.0,207740,1618.0,74868-1901,0.38999998569488,26782.6
3113,3113,,,,,,,,6862.0,,,,Durant,,,COED,Certificate,33.9911,-96.377,19500,15300,13800,11500,Private for-profit,0.0,0.0333,0.94999998807907,0.0333,,0.0,,0.9091,,0.6,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Southern School of Beauty Inc,www.southernschoolofbeauty.net,2699.0,OK,,,207786,30.0,74701-5008,0.52999997138977,15289.39
3114,3114,20.0,19.0,19.0,,0.7992,,14050.0,,Master's Colleges and Universities (medium programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Durant,0.3059,6679.0,COED,Graduate,34.0036,-96.3764,38700,30900,34300,28500,Public,0.0062,0.0562,0.58999997377395,0.0401,,0.2073,1.0,0.4777,,0.5483,Bachelors,"Southwest (AZ, NM, OK, TX)",,,950.0,,,Southeastern Oklahoma State University,www.se.edu,6685.0,OK,5315.0,13440.0,207847,3363.0,74701-0609,0.31000000238418,38375.95
3115,3115,20.0,18.0,21.0,,0.884,,22983.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily residential (less than 1,000)","Full-time four-year, inclusive",Bethany,0.2973,4314.0,COED,Graduate,35.5136,-97.6394,30800,26100,28200,25000,Private nonprofit,0.0087,0.2734,0.54000002145767,0.0699,,0.2946,0.3373,0.6522,,0.397,Bachelors,"Southwest (AZ, NM, OK, TX)",Pentecostal Holiness Church,523.0,963.0,498.0,490.0,Southwestern Christian University,www.swcu.edu,5930.0,OK,14220.0,14220.0,207856,801.0,73008,0.25,41080.09
3116,3116,21.0,21.0,21.0,,0.9026,,16660.0,,Master's Colleges and Universities (medium programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Full-time four-year, selective, higher transfer-in",Weatherford,0.3292,6233.0,COED,Graduate,35.5346,-98.708,45600,39100,37000,32000,Public,0.0173,0.0507,0.56999999284744,0.0755,,0.1551,1.0,0.3921,,0.6964,Bachelors,"Southwest (AZ, NM, OK, TX)",,,990.0,,,Southwestern Oklahoma State University,www.swosu.edu,7391.0,OK,5460.0,11820.0,207865,3985.0,73096-3098,0.20999999344348,45688.93
3117,3117,,,,,,,11414.0,,Associate's--Public Urban-serving Multicampus,"Very large 2-year (10,000 or more)",Mixed part/full-time two-year,Tulsa,,6287.0,COED,Associate,36.1068,-95.9083,35800,29900,31200,27100,Public,0.0354,0.1075,0.68000000715255,0.0742,,0.6261,1.0,0.4084,,0.5853,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Tulsa Community College,www.tulsacc.edu,6413.0,OK,2606.0,7048.0,207935,14559.0,74135-6198,0.49000000953674,34360.8
3118,3118,,,,,,,,28819.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Tulsa,,5663.0,COED,Associate,36.1478,-95.9542,41000,35700,36000,31100,Private for-profit,0.0018,0.0777,0.05000000074505,0.1152,,0.0,1.0,0.5768,,0.4516,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Tulsa Welding School-Tulsa,www.weldingschool.com,4720.0,OK,,,207962,1094.0,74104-3909,0.50999999046325,31181.14
3119,3119,29.0,29.0,27.0,,0.4059,,46560.0,,Doctoral/Research Universities,"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, lower transfer-in",Tulsa,0.6882,9672.0,COED,Graduate,36.1519,-95.9452,52900,46400,43200,36000,Private nonprofit,0.0327,0.0451,0.54000002145767,0.0418,,0.0359,0.7755,0.1557,,0.5524,Bachelors,"Southwest (AZ, NM, OK, TX)",Presbyterian Church (USA),630.0,1279.0,635.0,,University of Tulsa,www.utulsa.edu,16047.0,OK,34835.0,34835.0,207971,3394.0,74104-3189,0.12999999523162,79960.34
3120,3120,,,,,,,,9419.0,,,,Muskogee,,,COED,Certificate,35.752,-95.3802,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.3125,0.94999998807907,0.0625,,0.0,,0.1311,,0.3438,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Virgil's Beauty College,www.virgilsbeautycollege.com,4647.0,OK,,,208017,32.0,74401-6802,0.56000000238418,13717.49
3121,3121,,,,,,,,11478.0,,,,Tahlequah,,,COED,Certificate,35.9202,-94.9915,27400,25300,22400,22100,Public,0.0087,0.0044,0.60000002384185,0.1048,,0.5459,,0.4082,,0.3406,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Indian Capital Technology Center-Tahlequah,www.ictctech.com,7281.0,OK,,,208026,229.0,74464,0.68000000715255,15769.65
3122,3122,,,,,,,11634.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,Altus,,4795.0,COED,Associate,34.6689,-99.3353,35500,29400,31100,25000,Public,0.0107,0.0957,0.62000000476837,0.1669,,0.4877,1.0,0.1323,,0.4992,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Western Oklahoma State College,www.wosc.edu,3476.0,OK,3000.0,6871.0,208035,1306.0,73521-1397,0.40999999642372,29689.99
3123,3123,,,,,,,,17111.0,,,,Woodward,,,COED,Certificate,36.4349,-99.3866,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0,0.97000002861022,0.1481,,0.0,,0.6038,,0.7778,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Woodward Beauty College,woodwardbeautyschool.com,1278.0,OK,,,208044,27.0,73801,0.51999998092651,30328.84
3124,3124,,,,,,,,10833.0,,,,Woodward,,,COED,Certificate,36.4062,-99.4273,24900,22800,18200,22200,Public,0.0,0.0122,0.81000000238418,0.2073,,0.4756,,0.1373,,0.7317,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,High Plains Technology Center,www.hptc.net,11749.0,OK,,,208053,82.0,73801,0.60000002384185,17605.84
3125,3125,,,,,,,,14010.0,,,,Salem,,,COED,Certificate,44.9417,-123.0396,17800,15200,14500,13500,Private for-profit,0.0,0.0536,0.89999997615814,0.1786,,0.0,,1.0,,0.7679,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Academy of Hair Design-Salem,academyofhairdesign.info,4357.0,OR,,,208080,56.0,97301,0.44999998807907,24934.75
